qsub_submitter	current qsub status	params	batch_script	total_hrs_run	max_epoch	latest_ckpoint_path	std_out	train_accuracy	val_accuracy	train_cmd	notes		Notes			"schedulers: cosine, cosine_warmup, tcos (cosine with restarts)"
dg							std_out_decoder_1	0.941	0.842				"it seems that increasing s4 params is not the way.  Std out 9 maxes out at 84 with double the hidden dim, and more layers.  However, keep batchsize and lr proportional 50:0.001, cosine scheduler works nice.  Messing with tcoss (cosine with restarts)"			
dg			bs_current	10	377	/projectnb/textconv/dgordon/state-spaces/outputs/2023-10-07/14-24-39-705466/checkpoints/val/accuracy.ckpt	std_out_		0.755	python -m train_debug_current pipeline=sc dataset=sc10 model=s4 model.n_layers=2 loader.eval_resolutions=1 trainer.max_epochs=500 train.ckpt=/projectnb/textconv/dgordon/state-spaces/outputs/2023-10-07/14-24-39-705466/checkpoints/val/accuracy.ckpt	"still improving.  Increased to 800 epochs, reducted lr to 0.0005.  lr=0.0003, ran again. Reduced to 0.0002, changed dir (that was the error, no w on the dir).  Swapping to warm up.  Checkpoints working."					
dg	qw	453k	bs_1				std_out_1		0.1019	python -m train_hydra pipeline=sc dataset=sc10 model=s4 model.n_layers=2 loader.eval_resolutions=1 tc.conv.segment_length=200 tc.conv.stride=100 tc.transformer.trans_dim=50.  reduced lr to 0.0005 tc.transformer.num_layers=4 tc.transformer.num_heads=10						
dg	DONE!	467k	bs_2				std_out_2		0.853	python -m train_hydra pipeline=sc dataset=sc10 optimizer.lr=0.0007 model=s4 model.n_layers=2 loader.eval_resolutions=1 loader.batch_size=10 scheduler=linear_warmup tc.conv.stride=20. lr to 0.0002 hydra.run.dir=./outputs/p2/${now:%H-%M-%S-%f}	"added warmup, put lr to 0.0007, just a little lower with the bs=10, changed lr to 0.0002.  reduced to 0.0001, switched to cosine warmup."	"81.3 after 49 epochs, and it looks like it is increasing slowly!! Running again with accuracy chkpt"	"with cosine warmup this is still increasing.  Slow, but increasing well still.  At epoch 74.  resubmitting."			
dg	DONE!	395k	bs_3	10	109	/projectnb/textconv/dgordon/state-spaces/outputs/2023-10-08/00-14-08-376551/checkpoints/val/accuracy.ckpt	std_out_3		0.10515	python -m train_hydra pipeline=sc dataset=sc10 model=s4 model.n_layers=2 loader.eval_resolutions=1 tc.transformer.trans_dim=20 tc.transformer.ff_dim=100 tc.transformer.num_layers=10 tc.transformer.num_heads=5	it doesn't look like it learns…I think I'll try a higher lr for a bit? Trying lower lr=0.0002. outputs perm.  Hydra.run.dir.					
dg	DONE!	1.2M	bs_4				std_out_4		0.254	python -m train_hydra pipeline=sc dataset=sc10 model=s4 model.n_layers=2 model.d_model=512 loader.eval_resolutions=1 tc.transformer.trans_dim=20 tc.transformer.ff_dim=100 tc.transformer.num_layers=10 tc.transformer.num_heads=5	"nothing after 90 epochs.  Reducing lr, scheduling for 10 hrs. (20 hors got to like 90 epochs). Started learning at 11 epochs (lr=0.0002), Plateaued after 16. going to load and increase rate to 0.0005. can't load after adding scheduler.  Removed and loaded with increased lr."	nothing.  Adding cos and lr math				
dg	DONE!	693k	bs_5lrplus				std_out_5lrplus		0.74	python -m train_hydra pipeline=sc dataset=sc10 model=s4 model.n_layers=4 loader.eval_resolutions=1 tc.transformer.trans_dim=20 tc.transformer.ff_dim=100 tc.transformer.num_layers=10 tc.transformer.num_heads=5	"outputs permission denied.  Changing hydra.run.dir.  Fixed lr and batch size. Ran to epoch 24.  added checkpoint. Added warmup.  Now it is training after 8 epochs.  Ffdim and transformer num layers are both double the default.  Learning rate was way lower too, 0.0002, normal is 0.001.  loading and increasing lr to 0.0004.  removed scheduler.  not sure that will load correctly..."	"it loaded.   And trained.  Got to 64%.  Plateaued.  Adding cosine.  Increased lr.  And it learns, but very slow.  This was at 0.0008.  I think scheduler.  5tcos is more promising.."				
dg	DONE!		bs_6				std_out_6		0.347	python -m train_hydra pipeline=sc dataset=sc10 model=s4 model.n_layers=2 loader.eval_resolutions=1 tc.conv.segment_length=500 tc.conv.stride=50	"og request was for 4 A40s, not scheduled in 12 hours, reducing. Oomed with 2.  reduced to batchsize 2, and reduced lr. Oom again.  Bs_1.  warmup!.  Nothing after 8 epochs, reducing lr to lr=0.00009. trained fast! Got to 25% first epoch, then stuck at 34%. loading and upping learning rate (starting with 0.0001)."	added plateau.  Trying that this time.  Fixed val/accuracy key for monitor.				
dg			bs_7				std_out_7			python -m train_hydra pipeline=sc dataset=sc10 model=s4 model.n_layers=2 loader.eval_resolutions=1 model.bidirectional=true	"og request was for 4 A40s, not scheduled in 12 hours, reducing."					
gk1			bs_8				std_out_8			python -m train_hydra pipeline=sc dataset=sc10 model=s4 model.n_layers=2 loader.eval_resolutions=1 tc.conv.stride=20 model.bidirectional=true						
